id,cinsiyyət,Yaşlı təbəqə,tərəfdaş,asılı olanlar,müddəti,Telefon Xidməti,Birdən çox xətt,İnternet servisi,onlayn təhlükəsizlik,onlayn yedəkləmə,Cihazın Mühafizəsi,texniki dəstək,canli tv,filmlər,müqavilə,Kağızsız Hesablaşma,ödəniş metodu,Aylıq Ödənişlər,Ümumi ödənişlər,Churn,"TelefonXidməti,KağızsızHesablaşma"
6047-YHPVI,Kişi,0,Yox,Yox,5,Hə,Yox,Fiber optic,Yox,Yox,Yox,Yox,Yox,Yox,ayliq,Hə,elektronik cek,69.7,316.9,Hə,Hə Hə
6572-ADKRS,,0,Yox,Yox,46,Hə,Yox,Fiber optic,Yox,Yox,Hə,Yox,Yox,Yox,ayliq,Hə,kredit karti,74.8,3548.3,Yox,Hə Hə
5380-WJKOV,Kişi,0,Yox,Yox,34,Hə,Hə,Fiber optic,Yox,Hə,Hə,Yox,Hə,Hə,ayliq,Hə,elektronik cek,106.35,3549.25,Hə,Hə Hə
8168-UQWWF,Qadın,0,Yox,Yox,11,Hə,Hə,Fiber optic,Yox,Yox,Hə,Yox,Hə,Hə,ayliq,Hə,bank transfer,97.85,1105.4,Hə,Hə Hə
8865-TNMNX,Kişi,0,Hə,Hə,10,Hə,Yox,DSL,Yox,Hə,Yox,Yox,Yox,Yox,illik,Yox,mail cek,49.55,475.7,Yox,Hə Yox
9489-DEDVP,Qadın,0,Hə,Hə,70,Hə,Hə,DSL,Hə,Hə,Yox,Yox,Hə,Yox,2illik,Hə,kredit karti,69.2,4872.35,Yox,Hə Hə
9867-JCZSP,Qadın,0,Hə,Hə,17,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,illik,Yox,mail cek,20.75,418.25,Yox,Hə Yox
4671-VJLCL,Qadın,0,Yox,Yox,63,Hə,Hə,DSL,Hə,Hə,Hə,Hə,Hə,Yox,2illik,Hə,kredit karti,79.85,4861.45,Yox,Hə Hə
4080-IIARD,Qadın,0,Hə,Yox,13,Hə,Hə,DSL,Hə,Hə,Yox,Hə,Hə,Yox,ayliq,Hə,elektronik cek,76.2,981.45,Yox,Hə Hə
3714-NTNFO,Qadın,0,Yox,Yox,49,Hə,Hə,Fiber optic,Yox,Yox,Yox,Yox,Yox,Hə,ayliq,Hə,elektronik cek,84.5,3906.7,Yox,Hə Hə
5948-UJZLF,Kişi,0,Yox,Yox,2,Hə,Yox,DSL,Yox,Hə,Yox,Yox,Yox,Yox,ayliq,Yox,mail cek,49.25,97,Yox,Hə Yox
7760-OYPDY,Qadın,0,Yox,Yox,2,Hə,Yox,Fiber optic,Yox,Yox,Yox,Yox,Hə,Yox,ayliq,Hə,elektronik cek,80.65,144.15,Hə,Hə Hə
7639-LIAYI,Kişi,0,Yox,Yox,52,Hə,Hə,DSL,Hə,Yox,Yox,Hə,Hə,Hə,2illik,Hə,kredit karti,79.75,4217.8,Yox,Hə Hə
2954-PIBKO,Qadın,0,Hə,Hə,69,Hə,Hə,DSL,Hə,Yox,Hə,Hə,Yox,Yox,2illik,Hə,kredit karti,64.15,4254.1,Yox,Hə Hə
8012-SOUDQ,Qadın,1,Yox,Yox,43,Hə,Hə,Fiber optic,Yox,Hə,Yox,Yox,Hə,Yox,ayliq,Hə,elektronik cek,90.25,3838.75,Yox,Hə Hə
9420-LOJKX,Qadın,0,Yox,Yox,15,Hə,Yox,Fiber optic,Hə,Hə,Yox,Yox,Hə,Hə,ayliq,Hə,kredit karti,99.1,1426.4,Hə,Hə Hə
6575-SUVOI,Qadın,1,Hə,Yox,25,Hə,Hə,DSL,Hə,Yox,Yox,Hə,Hə,Yox,ayliq,Hə,kredit karti,69.5,1752.65,Yox,Hə Hə
7495-OOKFY,Qadın,1,Hə,Yox,8,Hə,Hə,Fiber optic,Yox,Hə,Yox,Yox,Yox,Yox,ayliq,Hə,kredit karti,80.65,633.3,Hə,Hə Hə
4667-QONEA,Qadın,1,Hə,Hə,60,Hə,Yox,DSL,Hə,Hə,Hə,Hə,Yox,Hə,illik,Hə,kredit karti,74.85,4456.35,Yox,Hə Hə
1658-BYGOY,Kişi,1,Yox,Yox,18,Hə,Hə,Fiber optic,Yox,Yox,Yox,Yox,Hə,Hə,ayliq,Hə,elektronik cek,95.45,1752.55,Hə,Hə Hə
8769-KKTPH,Qadın,0,Hə,Hə,63,Hə,Hə,Fiber optic,Hə,Yox,Yox,Yox,Hə,Hə,illik,Hə,kredit karti,99.65,6311.2,Yox,Hə Hə
5067-XJQFU,Kişi,1,Hə,Hə,66,Hə,Hə,Fiber optic,Yox,Hə,Hə,Hə,Hə,Hə,illik,Hə,elektronik cek,108.45,7076.35,Yox,Hə Hə
3957-SQXML,Qadın,0,Hə,Hə,34,Hə,Hə,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2illik,Yox,kredit karti,24.95,894.3,Yox,Hə Yox
5954-BDFSG,Qadın,0,Yox,Yox,72,Hə,Hə,Fiber optic,Yox,Yox,Hə,Hə,Hə,Hə,2illik,Hə,kredit karti,107.5,7853.7,Yox,Hə Hə
0434-CSFON,Qadın,0,Hə,Yox,47,Hə,Hə,Fiber optic,Yox,Yox,Hə,Yox,Hə,Hə,ayliq,Hə,elektronik cek,100.5,4707.1,Yox,Hə Hə
1215-FIGMP,Kişi,0,Yox,Yox,60,Hə,Hə,Fiber optic,Yox,Hə,Yox,Yox,Hə,Yox,ayliq,Hə,bank transfer,89.9,5450.7,Yox,Hə Hə
0526-SXDJP,Kişi,0,Hə,Yox,72,Yox,Teleon xidmeti yoxdur,DSL,Hə,Hə,Hə,Yox,Yox,Yox,2illik,Yox,bank transfer,42.1,2962,Yox,Yox Yox
0557-ASKVU,Qadın,0,Hə,Hə,18,Hə,Yox,DSL,Yox,Yox,Hə,Hə,Yox,Yox,illik,Hə,kredit karti,54.4,957.1,Yox,Hə Hə
5698-BQJOH,Qadın,0,Yox,Yox,9,Hə,Hə,Fiber optic,Yox,Yox,Yox,Yox,Hə,Hə,ayliq,Yox,elektronik cek,94.4,857.25,Hə,Hə Yox
5122-CYFXA,Qadın,0,Yox,Yox,3,Hə,Yox,DSL,Yox,Hə,Yox,Hə,Hə,Hə,ayliq,Hə,elektronik cek,75.3,244.1,Yox,Hə Hə
8627-ZYGSZ,Kişi,0,Hə,Yox,47,Hə,Hə,Fiber optic,Yox,Hə,Yox,Yox,Yox,Yox,illik,Hə,elektronik cek,78.9,3650.35,Yox,Hə Hə
3410-YOQBQ,Qadın,0,Yox,Yox,31,Hə,Yox,DSL,Yox,Hə,Hə,Hə,Hə,Hə,2illik,Yox,mail cek,79.2,2497.2,Yox,Hə Yox
3170-NMYVV,Qadın,0,Hə,Hə,50,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2illik,Yox,bank transfer,20.15,930.9,Yox,Hə Yox
7410-OIEDU,Kişi,0,Yox,Yox,10,Hə,Yox,Fiber optic,Hə,Yox,Hə,Yox,Yox,Yox,ayliq,Hə,mail cek,79.85,887.35,Yox,Hə Hə
2273-QCKXA,Kişi,0,Yox,Yox,1,Hə,Yox,DSL,Yox,Yox,Yox,Hə,Yox,Yox,ayliq,Yox,mail cek,49.05,49.05,Yox,Hə Yox
0731-EBJQB,Qadın,0,Hə,Hə,52,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,illik,Hə,elektronik cek,20.4,1090.65,Yox,Hə Hə
1891-QRQSA,Kişi,1,Hə,Hə,64,Hə,Hə,Fiber optic,Hə,Yox,Hə,Hə,Hə,Hə,2illik,Hə,bank transfer,111.6,7099,Yox,Hə Hə
8028-PNXHQ,Kişi,0,Hə,Hə,62,Hə,Hə,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2illik,Hə,bank transfer,24.25,1424.6,Yox,Hə Hə
5630-AHZIL,Qadın,0,Yox,Hə,3,Hə,Yox,DSL,Hə,Yox,Yox,Hə,Yox,Hə,ayliq,Hə,bank transfer,64.5,177.4,Yox,Hə Hə
2673-CXQEU,Qadın,1,Yox,Yox,56,Hə,Hə,Fiber optic,Hə,Hə,Hə,Yox,Hə,Hə,illik,Yox,elektronik cek,110.5,6139.5,Yox,Hə Yox
6416-JNVRK,Qadın,0,Yox,Yox,46,Hə,Yox,DSL,Yox,Yox,Yox,Yox,Yox,Hə,illik,Yox,kredit karti,55.65,2688.85,Yox,Hə Yox
5590-ZSKRV,Qadın,0,Hə,Hə,8,Hə,Yox,DSL,Hə,Hə,Yox,Yox,Yox,Yox,ayliq,Yox,mail cek,54.65,482.25,Yox,Hə Yox
0191-ZHSKZ,Kişi,1,Yox,Yox,30,Hə,Yox,DSL,Hə,Hə,Yox,Yox,Hə,Hə,ayliq,Hə,elektronik cek,74.75,2111.3,Yox,Hə Hə
3887-PBQAO,Qadın,0,Hə,Hə,45,Hə,Hə,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,illik,Hə,kredit karti,25.9,1216.6,Yox,Hə Hə
5919-TMRGD,Qadın,0,Yox,Hə,1,Hə,Yox,Fiber optic,Yox,Yox,Yox,Yox,Hə,Yox,ayliq,Hə,elektronik cek,79.35,79.35,Hə,Hə Hə
8108-UXRQN,Qadın,0,Hə,Hə,11,Yox,Teleon xidmeti yoxdur,DSL,Hə,Yox,Yox,Yox,Hə,Hə,ayliq,Yox,elektronik cek,50.55,565.35,Yox,Yox Yox
9191-MYQKX,Qadın,0,Hə,Yox,7,Hə,Yox,Fiber optic,Yox,Yox,Hə,Yox,Yox,Yox,ayliq,Hə,bank transfer,75.15,496.9,Hə,Hə Hə
9919-YLNNG,Qadın,0,Yox,Yox,42,Hə,Yox,Fiber optic,Yox,Hə,Hə,Hə,Hə,Hə,ayliq,Hə,bank transfer,103.8,4327.5,Yox,Hə Hə
0318-ZOPWS,Qadın,0,Hə,Yox,49,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2illik,Hə,bank transfer,20.15,973.35,Yox,Hə Hə
4445-ZJNMU,Kişi,0,Yox,Yox,9,Hə,Hə,Fiber optic,Yox,Hə,Yox,Yox,Hə,Hə,ayliq,Hə,kredit karti,99.3,918.75,Yox,Hə Hə
4808-YNLEU,,0,Hə,Yox,35,Hə,Yox,DSL,Hə,Yox,Yox,Yox,Hə,Yox,illik,Hə,bank transfer,62.15,2215.45,Yox,Hə Hə
1862-QRWPE,Qadın,0,Hə,Hə,48,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2illik,Yox,bank transfer,20.65,1057,Yox,Hə Yox
2796-NNUFI,Qadın,0,Hə,Hə,46,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2illik,Hə,mail cek,19.95,927.1,Yox,Hə Hə
3016-KSVCP,Kişi,0,Hə,Yox,29,Yox,Teleon xidmeti yoxdur,DSL,Yox,Yox,Yox,Yox,Hə,Yox,ayliq,Yox,mail cek,33.75,1009.25,Yox,Yox Yox
4767-HZZHQ,Kişi,0,Hə,Hə,30,Hə,Yox,Fiber optic,Yox,Hə,Hə,Yox,Yox,Yox,ayliq,Yox,bank transfer,82.05,2570.2,Yox,Hə Yox
2424-WVHPL,Kişi,1,Yox,Yox,1,Hə,Yox,Fiber optic,Yox,Yox,Yox,Hə,Yox,Yox,ayliq,Yox,elektronik cek,74.7,74.7,Yox,Hə Yox
7233-PAHHL,Kişi,0,Hə,Hə,66,Hə,Hə,DSL,Hə,Yox,Hə,Hə,Hə,Hə,2illik,Hə,mail cek,84.0,5714.25,Yox,Hə Hə
6067-NGCEU,Qadın,0,Yox,Yox,65,Hə,Hə,Fiber optic,Hə,Hə,Hə,Yox,Hə,Hə,ayliq,Hə,kredit karti,111.05,7107,Yox,Hə Hə
9848-JQJTX,Kişi,0,Yox,Yox,72,Hə,Hə,Fiber optic,Yox,Hə,Hə,Yox,Hə,Hə,2illik,Hə,bank transfer,100.9,7459.05,Yox,Hə Hə
8637-XJIVR,Qadın,0,Yox,Yox,12,Hə,Hə,Fiber optic,Hə,Yox,Yox,Yox,Yox,Yox,ayliq,Hə,elektronik cek,78.95,927.35,Hə,Hə Hə
9803-FTJCG,Kişi,0,Hə,Hə,71,Hə,Hə,DSL,Hə,Hə,Yox,Hə,Yox,Yox,illik,Hə,kredit karti,66.85,4748.7,Yox,Hə Hə
0278-YXOOG,Kişi,0,Yox,Yox,5,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,ayliq,Yox,mail cek,21.05,113.85,Hə,Hə Yox
3212-KXOCR,Kişi,0,Yox,Yox,52,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2illik,Yox,bank transfer,21.0,1107.2,Yox,Hə Yox
4598-XLKNJ,Qadın,1,Hə,Yox,25,Hə,Yox,Fiber optic,Yox,Hə,Hə,Yox,Hə,Hə,ayliq,Hə,elektronik cek,98.5,2514.5,Hə,Hə Hə
6380-ARCEH,Kişi,0,Yox,Yox,1,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,ayliq,Yox,mail cek,20.2,20.2,Yox,Hə Yox
3679-XASPY,Qadın,0,Hə,Hə,1,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,ayliq,Yox,elektronik cek,19.45,19.45,Yox,Hə Yox
7123-WQUHX,Kişi,0,Yox,Yox,38,Hə,Hə,Fiber optic,Yox,Yox,Hə,Hə,Hə,Yox,illik,Yox,bank transfer,95.0,3605.6,Yox,Hə Yox
5386-THSLQ,Qadın,1,Hə,Yox,66,Yox,Teleon xidmeti yoxdur,DSL,Yox,Hə,Hə,Yox,Hə,Yox,illik,Yox,bank transfer,45.55,3027.25,Yox,Yox Yox
3192-NQECA,Kişi,0,Hə,Yox,68,Hə,Hə,Fiber optic,Yox,Hə,Hə,Hə,Hə,Hə,2illik,Hə,bank transfer,110.0,7611.85,Hə,Hə Hə
6180-YBIQI,Kişi,0,Yox,Yox,5,Yox,Teleon xidmeti yoxdur,DSL,Yox,Yox,Yox,Yox,Yox,Yox,ayliq,Yox,mail cek,24.3,100.2,Yox,Yox Yox
6728-DKUCO,Qadın,0,Hə,Hə,72,Hə,Hə,Fiber optic,Hə,Hə,Yox,Yox,Hə,Hə,illik,Hə,elektronik cek,104.15,7303.05,Yox,Hə Hə
9750-BOOHV,Qadın,0,Yox,Yox,32,Yox,Teleon xidmeti yoxdur,DSL,Hə,Yox,Yox,Yox,Yox,Yox,illik,Yox,mail cek,30.15,927.65,Yox,Yox Yox
8597-CWYHH,Kişi,0,Yox,Yox,43,Hə,Hə,Fiber optic,Yox,Yox,Yox,Yox,Hə,Hə,illik,Yox,mail cek,94.35,3921.3,Yox,Hə Yox
2848-YXSMW,Kişi,0,Hə,Hə,72,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2illik,Yox,kredit karti,19.4,1363.25,Yox,Hə Yox
0486-HECZI,Kişi,0,Hə,Yox,55,Hə,Hə,Fiber optic,Hə,Hə,Yox,Yox,Hə,Yox,ayliq,Hə,elektronik cek,96.75,5238.9,Hə,Hə Hə
4549-ZDQYY,Qadın,0,Yox,Yox,52,Hə,Yox,DSL,Hə,Yox,Hə,Hə,Yox,Yox,illik,Yox,kredit karti,57.95,3042.25,Yox,Hə Yox
5712-AHQNN,Qadın,0,Yox,Yox,43,Hə,Yox,Fiber optic,Yox,Hə,Hə,Yox,Hə,Yox,ayliq,Hə,elektronik cek,91.65,3954.1,Yox,Hə Hə
4846-WHAFZ,Qadın,1,Hə,Yox,37,Hə,Hə,Fiber optic,Yox,Yox,Yox,Yox,Yox,Yox,ayliq,Hə,elektronik cek,76.5,2868.15,Hə,Hə Hə
5256-SKJGO,Qadın,0,Hə,Hə,64,Yox,Teleon xidmeti yoxdur,DSL,Yox,Hə,Yox,Hə,Hə,Hə,2illik,Hə,elektronik cek,54.6,3423.5,Yox,Yox Hə
3071-VBYPO,Kişi,0,Hə,Hə,3,Hə,Yox,Fiber optic,Hə,Hə,Yox,Yox,Hə,Yox,ayliq,Yox,elektronik cek,89.85,248.4,Yox,Hə Yox
9560-BBZXK,Qadın,0,Yox,Yox,36,Yox,Teleon xidmeti yoxdur,DSL,Hə,Yox,Yox,Yox,Yox,Yox,2illik,Yox,bank transfer,31.05,1126.35,Yox,Yox Yox
5299-RULOA,Qadın,0,Hə,Hə,10,Hə,Hə,Fiber optic,Hə,Yox,Yox,Yox,Hə,Hə,ayliq,Hə,elektronik cek,100.25,1064.65,Hə,Hə Hə
8402-OOOHJ,Qadın,0,Yox,Yox,41,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2illik,Yox,mail cek,20.65,835.15,Yox,Hə Yox
9445-ZUEQE,Kişi,0,Hə,Hə,27,Hə,Hə,Fiber optic,Yox,Hə,Yox,Hə,Yox,Yox,ayliq,Hə,kredit karti,85.2,2151.6,Yox,Hə Hə
1091-SOZGA,Qadın,0,Hə,Hə,56,Hə,Hə,Fiber optic,Yox,Yox,Hə,Yox,Hə,Hə,illik,Hə,kredit karti,99.8,5515.45,Yox,Hə Hə
2928-HLDBA,Qadın,0,Yox,Yox,6,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,ayliq,Yox,mail cek,20.7,112.75,Yox,Hə Yox
0404-SWRVG,Kişi,0,Yox,Yox,3,Hə,Hə,Fiber optic,Yox,Yox,Yox,Yox,Yox,Yox,ayliq,Hə,elektronik cek,74.4,229.55,Hə,Hə Hə
6497-TILVL,Qadın,0,Hə,Hə,7,Hə,Yox,DSL,Hə,Yox,Yox,Yox,Yox,Yox,ayliq,Yox,mail cek,50.7,350.35,Yox,Hə Yox
7219-TLZHO,Qadın,0,Hə,Hə,4,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,ayliq,Yox,mail cek,20.85,62.9,Yox,Hə Yox
4622-YNKIJ,Kişi,0,Yox,Yox,33,Hə,Yox,Fiber optic,Hə,Yox,Yox,Hə,Hə,Yox,2illik,Hə,elektronik cek,88.95,3027.65,Yox,Hə Hə
4412-YLTKF,Qadın,1,Yox,Yox,27,Hə,Hə,Fiber optic,Yox,Yox,Hə,Yox,Yox,Yox,ayliq,Hə,elektronik cek,78.05,2135.5,Hə,Hə Hə
6734-PSBAW,Kişi,0,Hə,Yox,72,Hə,Hə,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2illik,Hə,bank transfer,23.55,1723.95,Yox,Hə Hə
3930-ZGWVE,Kişi,0,Yox,Yox,1,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,ayliq,Yox,mail cek,19.75,19.75,Yox,Hə Yox
2639-UGMAZ,Kişi,1,Yox,Yox,71,Yox,Teleon xidmeti yoxdur,DSL,Hə,Hə,Yox,Yox,Hə,Hə,illik,Hə,elektronik cek,56.45,3985.35,Yox,Yox Hə
2876-GZYZC,Qadın,0,Yox,Yox,13,Hə,Hə,Fiber optic,Yox,Yox,Yox,Yox,Yox,Hə,ayliq,Hə,elektronik cek,85.95,1215.65,Yox,Hə Hə
6207-WIOLX,Qadın,0,Hə,Hə,25,Yox,Teleon xidmeti yoxdur,DSL,Hə,Hə,Hə,Yox,Hə,Hə,ayliq,Hə,kredit karti,58.6,1502.65,Hə,Yox Hə
8587-XYZSF,Kişi,0,Yox,Yox,67,Hə,Yox,DSL,Yox,Yox,Yox,Hə,Yox,Yox,2illik,Yox,bank transfer,50.55,3260.1,Yox,Hə Yox
3091-FYHKI,Kişi,0,Yox,Yox,1,Yox,Teleon xidmeti yoxdur,DSL,Yox,Yox,Yox,Yox,Yox,Hə,ayliq,Hə,elektronik cek,35.45,35.45,Hə,Yox Hə
2372-HWUHI,Kişi,0,Yox,Yox,2,Hə,Yox,DSL,Yox,Yox,Yox,Yox,Yox,Yox,ayliq,Yox,elektronik cek,44.35,81.25,Hə,Hə Yox
7799-LGRDP,Qadın,0,Yox,Yox,43,Hə,Hə,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2illik,Hə,kredit karti,25.7,1188.2,Yox,Hə Hə
